# lag_days = last message in the session minus trigger_received_on (when the bot offered it).
# end_source: last_message is the true end; updated_at is the fallback. They agreed on every row.
# session_id column removed: it identifies a conversation and adds nothing to a lag audit.
# session_id column removed: it identifies a conversation and adds nothing to a lag audit.
flw_id,end_time,end_source,lag_days,within_2d
FLW_8c2ec5,2026-07-08T15:10:48.200078+00:00,last_message,0.0548,Y
FLW_94c67e,2026-07-08T15:49:20.881926+00:00,last_message,0.0798,Y
FLW_09e269,2026-07-08T16:50:50.385132+00:00,last_message,0.1164,Y
FLW_013fc6,2026-07-08T20:36:22.074352+00:00,last_message,0.2496,Y
FLW_56c294,2026-07-08T16:22:47.854613+00:00,last_message,0.0646,Y
FLW_5c641b,2026-07-08T15:47:25.827420+00:00,last_message,0.0382,Y
FLW_be41f1,2026-07-08T15:46:03.221741+00:00,last_message,0.0322,Y
FLW_d65097,2026-07-09T15:04:53.014181+00:00,last_message,0.954,Y
FLW_10f42c,2026-07-08T17:31:15.419266+00:00,last_message,0.0545,Y
FLW_754229,2026-07-09T11:36:32.378206+00:00,last_message,0.8056,Y
FLW_ec17a0,2026-07-08T18:22:16.443234+00:00,last_message,0.0674,Y
FLW_c744b1,2026-07-08T21:05:07.718711+00:00,last_message,0.1535,Y
FLW_af56be,2026-07-09T14:21:38.923158+00:00,last_message,0.8494,Y
FLW_73b379,2026-07-08T19:16:10.498494+00:00,last_message,0.0507,Y
FLW_5a6b45,2026-07-08T20:06:19.077887+00:00,last_message,0.0665,Y
FLW_fa24ca,2026-07-08T19:51:07.837716+00:00,last_message,0.0549,Y
FLW_dd7b2c,2026-07-08T21:04:04.266242+00:00,last_message,0.0358,Y
FLW_2e2fe9,2026-07-08T22:02:15.019521+00:00,last_message,0.0479,Y
FLW_d675b2,2026-07-09T13:25:13.252872+00:00,last_message,0.6404,Y
FLW_9809b4,2026-07-09T16:12:16.193365+00:00,last_message,0.2687,Y
FLW_0e9942,2026-07-09T19:12:02.783639+00:00,last_message,0.1018,Y
FLW_9f1ddd,2026-07-09T17:49:50.406151+00:00,last_message,0.041,Y
FLW_9c2b73,2026-07-09T22:26:13.586962+00:00,last_message,0.1527,Y
FLW_79ea03,2026-07-10T15:06:41.496800+00:00,last_message,0.2571,Y
FLW_d67daf,2026-07-10T14:23:04.684438+00:00,last_message,0.1111,Y
FLW_40372c,2026-07-10T14:22:31.420370+00:00,last_message,0.0898,Y
FLW_c087a3,2026-07-10T14:29:14.222583+00:00,last_message,0.091,Y
FLW_a7f4c2,2026-07-10T17:53:29.058981+00:00,last_message,0.218,Y
FLW_2c90c9,2026-07-10T16:55:06.503475+00:00,last_message,0.1769,Y
FLW_c86561,2026-07-10T16:31:29.253561+00:00,last_message,0.1508,Y
FLW_a8f2ca,2026-07-10T15:37:53.319554+00:00,last_message,0.0604,Y
FLW_2cf33c,2026-07-11T13:56:55.766603+00:00,last_message,0.9882,Y
FLW_2c416d,2026-07-10T15:49:33.043648+00:00,last_message,0.0662,Y
